Panel,UniprotID
CARDIOVASCULAR II,P04792
CARDIOVASCULAR II,P01730
CARDIOVASCULAR II,Q9Y6K9
CARDIOVASCULAR II,O43915
CARDIOVASCULAR II,P09874
CARDIOVASCULAR II,Q9UJM8
CARDIOVASCULAR III,Q9NQ76
CARDIOVASCULAR III,Q92956
CARDIOVASCULAR III,P01130
CARDIOVASCULAR III,P05107
CARDIOVASCULAR III,Q96F46
CARDIOVASCULAR III,P20333
CARDIOVASCULAR III,P14780
CARDIOVASCULAR III,P54760
CARDIOVASCULAR III,P01589
CARDIOVASCULAR III,O00300
CARDIOVASCULAR III,Q13740
CARDIOVASCULAR III,Q07654
CARDIOVASCULAR III,P16109
CARDIOVASCULAR III,P04080
CARDIOVASCULAR III,P13500
CARDIOVASCULAR III,Q86VB7
CARDIOVASCULAR III,P17931
CARDIOVASCULAR III,P28799
CARDIOVASCULAR III,Q13867
CARDIOVASCULAR III,P98160
CARDIOVASCULAR III,P36941
CARDIOVASCULAR III,Q9UM47
CARDIOVASCULAR III,Q99727
CARDIOVASCULAR III,Q12860
CARDIOVASCULAR III,P33151
CARDIOVASCULAR III,Q5T2D2
CARDIOVASCULAR III,P15090
CARDIOVASCULAR III,P10646
CARDIOVASCULAR III,P05121
CARDIOVASCULAR III,O00175
CARDIOVASCULAR III,P02786
CARDIOVASCULAR III,O14798
CARDIOVASCULAR III,Q99988
CARDIOVASCULAR III,P16581
CARDIOVASCULAR III,P20160
CARDIOVASCULAR III,P80370
CARDIOVASCULAR III,Q9HCB6
CARDIOVASCULAR III,P05164
CARDIOVASCULAR III,Q9H2A7
CARDIOVASCULAR III,P08887
CARDIOVASCULAR III,Q9HD89
CARDIOVASCULAR III,P08833
CARDIOVASCULAR III,Q13231
CARDIOVASCULAR III,P13686
CARDIOVASCULAR III,P35247
CARDIOVASCULAR III,P19957
CARDIOVASCULAR III,P16422
CARDIOVASCULAR III,P15144
CARDIOVASCULAR III,P30530
CARDIOVASCULAR III,P14778
CARDIOVASCULAR III,P08253
CARDIOVASCULAR III,P25445
CARDIOVASCULAR III,P02144
CARDIOVASCULAR III,Q9Y275
CARDIOVASCULAR III,P24158
CARDIOVASCULAR III,Q8NBP7
CARDIOVASCULAR III,Q03405
CARDIOVASCULAR III,P10451
CARDIOVASCULAR III,P07339
CARDIOVASCULAR III,O75594
CARDIOVASCULAR III,P15085
CARDIOVASCULAR III,Q9Y624
CARDIOVASCULAR III,P56470
CARDIOVASCULAR III,P27930
CARDIOVASCULAR III,P78324
CARDIOVASCULAR III,Q16663
CARDIOVASCULAR III,P42574
CARDIOVASCULAR III,P00749
CARDIOVASCULAR III,P15086
CARDIOVASCULAR III,P36222
CARDIOVASCULAR III,Q01638
CARDIOVASCULAR III,P00750
CARDIOVASCULAR III,Q96PL1
CARDIOVASCULAR III,P00533
CARDIOVASCULAR III,Q16270
CARDIOVASCULAR III,Q9NPY3
CARDIOVASCULAR III,O95998
CARDIOVASCULAR III,P02452
CARDIOVASCULAR III,Q15166
CARDIOVASCULAR III,Q9UBR2
CARDIOVASCULAR III,P08254
CARDIOVASCULAR III,Q99969
CARDIOVASCULAR III,P13598
CARDIOVASCULAR III,Q92876
CARDIOVASCULAR III,P04085
CARDIOVASCULAR III,P19438
CARDIOVASCULAR III,P18065
CARDIOVASCULAR III,P04275
CARDIOVASCULAR III,P16284
CARDIOVASCULAR III,O15467
CARDIOVASCULAR III,Q9HCN6
CELL REGULATION,A4D1B5
CELL REGULATION,O00220
CELL REGULATION,O00221
CELL REGULATION,O00451
CELL REGULATION,O14662
CELL REGULATION,O14904
CELL REGULATION,O14917
CELL REGULATION,O43186
CELL REGULATION,O43521
CELL REGULATION,O43699
CELL REGULATION,O43752
CELL REGULATION,O43915
CELL REGULATION,O60243
CELL REGULATION,O75054
CELL REGULATION,O75354
CELL REGULATION,O94760
CELL REGULATION,O95183
CELL REGULATION,O95644
CELL REGULATION,O95988
CELL REGULATION,O96013
CELL REGULATION,P01242
CELL REGULATION,P01275
CELL REGULATION,P02462
CELL REGULATION,P04637
CELL REGULATION,P05412
CELL REGULATION,P08237
CELL REGULATION,P09758
CELL REGULATION,P0CG37
CELL REGULATION,P11274
CELL REGULATION,P15848
CELL REGULATION,P16562
CELL REGULATION,P21810
CELL REGULATION,P22681
CELL REGULATION,P23515
CELL REGULATION,P25685
CELL REGULATION,P30041
CELL REGULATION,P47929
CELL REGULATION,P52564
CELL REGULATION,P57771
CELL REGULATION,P58294
CELL REGULATION,Q01543
CELL REGULATION,Q02742
CELL REGULATION,Q05516
CELL REGULATION,Q06520
CELL REGULATION,Q07960
CELL REGULATION,Q10471
CELL REGULATION,Q12912
CELL REGULATION,Q13105
CELL REGULATION,Q13561
CELL REGULATION,Q13576
CELL REGULATION,Q16653
CELL REGULATION,Q49AH0
CELL REGULATION,Q6UB28
CELL REGULATION,Q6UXD5
CELL REGULATION,Q6UXK5
CELL REGULATION,Q7Z5A7
CELL REGULATION,Q7Z5R6
CELL REGULATION,Q86SJ2
CELL REGULATION,Q86WV1
CELL REGULATION,Q8N2G4
CELL REGULATION,Q8N5S9
CELL REGULATION,Q8TD06
CELL REGULATION,Q8WYN0
CELL REGULATION,Q92558
CELL REGULATION,Q92982
CELL REGULATION,Q969V3
CELL REGULATION,Q96I82
CELL REGULATION,Q96LC7
CELL REGULATION,Q96PD2
CELL REGULATION,Q96PQ0
CELL REGULATION,Q96SM3
CELL REGULATION,Q9BQT9
CELL REGULATION,Q9BWV1
CELL REGULATION,Q9C0C4
CELL REGULATION,Q9H156
CELL REGULATION,Q9H5Y7
CELL REGULATION,Q9HCU5
CELL REGULATION,Q9NRM6
CELL REGULATION,Q9NS71
CELL REGULATION,Q9NSA1
CELL REGULATION,Q9NX58
CELL REGULATION,Q9NZ53
CELL REGULATION,Q9NZN5
CELL REGULATION,Q9P0V8
CELL REGULATION,Q9UBG0
CELL REGULATION,Q9UBM4
CELL REGULATION,Q9UK85
CELL REGULATION,Q9UKR0
CELL REGULATION,Q9UPY6
CELL REGULATION,Q9Y2W6
CELL REGULATION,Q9Y662
CELL REGULATION,Q9Y6A5
DEVELOPMENT,Q9UBX1
DEVELOPMENT,O00339
DEVELOPMENT,O43464
DEVELOPMENT,Q08431
DEVELOPMENT,Q9UKK9
DEVELOPMENT,P16112
DEVELOPMENT,P05556
DEVELOPMENT,Q9UBP4
DEVELOPMENT,O43291
DEVELOPMENT,P05067
DEVELOPMENT,Q8TDQ0
DEVELOPMENT,Q02487
DEVELOPMENT,P63313
DEVELOPMENT,Q9BY76
DEVELOPMENT,P55103
DEVELOPMENT,P00995
DEVELOPMENT,Q9Y240
DEVELOPMENT,P09619
DEVELOPMENT,O43405
DEVELOPMENT,Q96RD9
DEVELOPMENT,Q9UKJ1
DEVELOPMENT,P15291
DEVELOPMENT,Q6UXG3
DEVELOPMENT,Q99497
DEVELOPMENT,P30043
DEVELOPMENT,P47712
DEVELOPMENT,P04233
DEVELOPMENT,O00585
DEVELOPMENT,P10586
DEVELOPMENT,P50895
DEVELOPMENT,O00241
DEVELOPMENT,P11717
DEVELOPMENT,P07237
DEVELOPMENT,P04066
DEVELOPMENT,Q96AP7
DEVELOPMENT,Q10588
DEVELOPMENT,Q15828
DEVELOPMENT,Q99972
DEVELOPMENT,O95721
DEVELOPMENT,Q8TEU8
DEVELOPMENT,Q4KMG0
DEVELOPMENT,Q8N6Q3
DEVELOPMENT,Q14112
DEVELOPMENT,Q14118
DEVELOPMENT,P48960
DEVELOPMENT,P29350
DEVELOPMENT,Q6YHK3
DEVELOPMENT,Q9Y279
DEVELOPMENT,Q9NZV1
DEVELOPMENT,P01215
DEVELOPMENT,Q86T13
DEVELOPMENT,P23280
DEVELOPMENT,P14174
DEVELOPMENT,Q6UXH1
DEVELOPMENT,P08648
DEVELOPMENT,Q5VY43
DEVELOPMENT,Q14696
DEVELOPMENT,Q8TCZ2
DEVELOPMENT,Q14162
DEVELOPMENT,Q99538
DEVELOPMENT,O75326
DEVELOPMENT,Q5KU26
DEVELOPMENT,P08236
DEVELOPMENT,P31948
DEVELOPMENT,O43505
DEVELOPMENT,Q07108
DEVELOPMENT,P24387
DEVELOPMENT,P08118
DEVELOPMENT,O43278
DEVELOPMENT,O95633
DEVELOPMENT,P78552
DEVELOPMENT,P19256
DEVELOPMENT,Q96QR1
DEVELOPMENT,P48745
DEVELOPMENT,Q8IWV2
DEVELOPMENT,P00918
DEVELOPMENT,P55808
DEVELOPMENT,P15289
DEVELOPMENT,P23284
DEVELOPMENT,Q9NQ38
DEVELOPMENT,Q99983
DEVELOPMENT,P30086
DEVELOPMENT,Q6UXH9
DEVELOPMENT,Q9Y6N7
DEVELOPMENT,P06734
DEVELOPMENT,Q16363
DEVELOPMENT,Q6GTX8
DEVELOPMENT,Q969Z4
DEVELOPMENT,O14773
DEVELOPMENT,Q9NNX6
DEVELOPMENT,Q11128
DEVELOPMENT,P21217
DEVELOPMENT,Q13822
IMMUNE RESPONSE,Q96SB3
IMMUNE RESPONSE,P16278
IMMUNE RESPONSE,O75475
IMMUNE RESPONSE,Q05516
IMMUNE RESPONSE,Q9NWZ3
IMMUNE RESPONSE,Q15661
IMMUNE RESPONSE,P14317
IMMUNE RESPONSE,Q9UHC6
IMMUNE RESPONSE,Q6UXB4
IMMUNE RESPONSE,Q00978
IMMUNE RESPONSE,Q9UNE0
IMMUNE RESPONSE,P05231
IMMUNE RESPONSE,Q13574
IMMUNE RESPONSE,Q8WTT0
IMMUNE RESPONSE,P51617
IMMUNE RESPONSE,Q9UMR7
IMMUNE RESPONSE,Q06830
IMMUNE RESPONSE,P30048
IMMUNE RESPONSE,P09038
IMMUNE RESPONSE,P30044
IMMUNE RESPONSE,Q8N608
IMMUNE RESPONSE,Q9C035
IMMUNE RESPONSE,Q14203
IMMUNE RESPONSE,P23229
IMMUNE RESPONSE,Q15517
IMMUNE RESPONSE,Q14435
IMMUNE RESPONSE,Q96DB9
IMMUNE RESPONSE,Q12933
IMMUNE RESPONSE,P19474
IMMUNE RESPONSE,Q8NHJ6
IMMUNE RESPONSE,P34130
IMMUNE RESPONSE,P08727
IMMUNE RESPONSE,O43736
IMMUNE RESPONSE,P50135
IMMUNE RESPONSE,P51671
IMMUNE RESPONSE,Q7Z6M3
IMMUNE RESPONSE,Q9GZT9
IMMUNE RESPONSE,Q12968
IMMUNE RESPONSE,O60449
IMMUNE RESPONSE,P63241
IMMUNE RESPONSE,Q04637
IMMUNE RESPONSE,P10747
IMMUNE RESPONSE,Q03431
IMMUNE RESPONSE,Q13490
IMMUNE RESPONSE,P28845
IMMUNE RESPONSE,P35240
IMMUNE RESPONSE,Q9HCM2
IMMUNE RESPONSE,Q9UQQ2
IMMUNE RESPONSE,Q96P31
IMMUNE RESPONSE,Q07065
IMMUNE RESPONSE,P05412
IMMUNE RESPONSE,O94992
IMMUNE RESPONSE,Q8WXI8
IMMUNE RESPONSE,Q04759
IMMUNE RESPONSE,P16455
IMMUNE RESPONSE,Q9NP99
IMMUNE RESPONSE,P78310
IMMUNE RESPONSE,P22301
IMMUNE RESPONSE,P78362
IMMUNE RESPONSE,Q13241
IMMUNE RESPONSE,O14867
IMMUNE RESPONSE,Q6ZUJ8
IMMUNE RESPONSE,O43597
IMMUNE RESPONSE,P52823
IMMUNE RESPONSE,P27540
IMMUNE RESPONSE,P58499
IMMUNE RESPONSE,O60880
IMMUNE RESPONSE,Q05084
