Protein,C(Site): sum_sq,Residual: sum_sq,C(Site): df,Residual: df,C(Site): F,Residual: F,C(Site): PR(>F),Residual: PR(>F)
CCL14_OID01292,339.7420665854168,799.0783153299329,4.0,47.0,4.995717197919951,,0.0019400934453773695,
QPCT_OID01293,21.094838315875727,393.4194406854519,4.0,47.0,0.6300256789031257,,0.643504203718491,
AOC3_OID01294,17.35857250102908,596.0154113721514,4.0,47.0,0.3422113304377917,,0.8480733396658295,
VASN_OID01295,3.3795090098688276,85.72400119696674,4.0,47.0,0.4632218551572205,,0.7623261167064184,
LILRB2_OID01296,62.11116344423289,410.48519288154625,4.0,47.0,1.7779110748102835,,0.14911836873137757,
LILRB1_OID01297,8.698514393629104,38.05216419104414,4.0,47.0,2.685985049680756,,0.0425668425683474,
TIMD4_OID01298,29.131803636566367,548.9351340565456,4.0,47.0,0.6235685630105701,,0.6479893521061473,
CNDP1_OID01299,3.2788250387345403,38.37071241259733,4.0,47.0,1.004052095537389,,0.4149588802574361,
OSMR_OID01300,3.9558458028116945,90.5826969168369,4.0,47.0,0.5131353974336991,,0.7263543874200679,
C1QTNF1_OID01301,21.881550905523962,158.03407671835504,4.0,47.0,1.6269163491752436,,0.18318791708589421,
CFHR5_OID01302,28.769462371448554,396.5834609116978,4.0,47.0,0.8523834606904797,,0.4994145769272087,
MEGF9_OID01303,2.29978546654781,30.925217663415005,4.0,47.0,0.8738007772829604,,0.48676743431380864,
CRTAC1_OID01304,58.51964090995168,628.8976595006804,4.0,47.0,1.0933508342801972,,0.3708082301310831,
FETUB_OID01305,28.132750661295873,125.65476971150804,4.0,47.0,2.630698548325399,,0.04594595828766103,
ANGPTL3_OID01306,81.59294799277792,986.8894679524017,4.0,47.0,0.9714534099794245,,0.43210269683375657,
LYVE1_OID01307,81.39069769638505,915.1185978734288,4.0,47.0,1.0450456368768903,,0.39418262560726147,
BMP-6_OID00379,2.098765548343733,85.76691103303767,4.0,47.0,0.28752924520669243,,0.8846157431872947,
ANG-1_OID00380,21.65005283943273,1015.3548355018017,4.0,47.0,0.25054110343367064,,0.9078991017979802,
ADM_OID00381,2.500684525620234,36.01345867094781,4.0,47.0,0.815890621462058,,0.5214975180131768,
CD40-L_OID00382,18.851589334370832,178.54788980392897,4.0,47.0,1.2405981102442747,,0.3067031581151759,
SLAMF7_OID00383,17.19641055453401,228.29331281949055,4.0,47.0,0.8850799067230668,,0.480201292445522,
PGF_OID00384,30.30036364574977,271.85790456754233,4.0,47.0,1.3096153058485203,,0.2801703416152824,
ADAM-TS13_OID00385,42.133477055873215,984.9179871599857,4.0,47.0,0.5026493188880036,,0.7339035410054249,
BOC_OID00386,18.931264353918593,125.76449251826747,4.0,47.0,1.7687214547161105,,0.15100457090246502,
IL-4RA_OID00387,18.785812812516966,198.26564695468295,4.0,47.0,1.113320960728647,,0.36149046878440727,
SRC_OID00388,13.058689772303559,143.39164947545999,4.0,47.0,1.0700735041814722,,0.3819233811796611,
IL-1ra_OID00389,55.61624576837692,456.96778067686813,4.0,47.0,1.4300590006815523,,0.23880022674157636,
IL6_OID00390,24.147409206699706,497.3598834430135,4.0,47.0,0.5704763645482699,,0.685329945757509,
TNFRSF10A_OID00391,0.7109490588126766,23.080758843836453,4.0,47.0,0.36193140345035624,,0.8344372869535673,
STK4_OID00392,110.88405467870962,966.993581959837,4.0,47.0,1.347359141551109,,0.2665516047057767,
IDUA_OID00393,0.9644516023390705,47.89922843227406,4.0,47.0,0.23658640647014004,,0.9162981792475023,
TNFRSF11A_OID00394,79.21392197797854,755.8216644703077,4.0,47.0,1.2314592542058747,,0.3103793513187215,
PAR-1_OID00395,19.692905007473424,176.3790810624047,4.0,47.0,1.3118995316453885,,0.27932857441732417,
TRAIL-R2_OID00396,12.819901546612503,302.5113184411029,4.0,47.0,0.4979444866689323,,0.7372931965381475,
PRSS27_OID00397,5.457263469955911,253.93986337426682,4.0,47.0,0.25251193302201286,,0.906694550400605,
TIE2_OID00398,3.5289709406312224,72.21864606851125,4.0,47.0,0.5741648564427545,,0.6827120491808929,
TF_OID00399,26.360127903834417,253.40981964389672,4.0,47.0,1.2222553305365338,,0.31412105273357543,
IL1RL2_OID00400,33.741128785781655,331.7754704819497,4.0,47.0,1.1949595389225853,,0.32545229721073754,
PDGF subunit B_OID00401,51.50703343820035,294.51450159858723,4.0,47.0,2.05493325324853,,0.10188539201193048,
IL-27_OID00402,3.1717987754667636,44.68686042404966,4.0,47.0,0.8339953905483404,,0.5104584277060145,
IL-17D_OID00403,11.979806961182819,135.59984428491816,4.0,47.0,1.0380744353815914,,0.39765451936490204,
CXCL1_OID00404,27.827550225562405,966.7969086900449,4.0,47.0,0.3382031036832639,,0.8508196959267753,
LOX-1_OID00405,67.38273719906147,219.94588676413954,4.0,47.0,3.5997361611858993,,0.012194729125335382,
Gal-9_OID00406,40.20265423348026,1402.6372899634903,4.0,47.0,0.33678071346277183,,0.8517920683614654,
GIF_OID00407,156.78148797029635,760.2423967254441,4.0,47.0,2.4231514732481734,,0.06122616840963332,
SCF_OID00408,16.67396947432322,110.46833040918195,4.0,47.0,1.7735322023751103,,0.15001429069035965,
IL18_OID00409,15.467415664655135,42.475079801941206,4.0,47.0,4.278794410914604,,0.004925435159764401,
FGF-21_OID00410,2.080522300653495,24.15285813955333,4.0,47.0,1.0121426164734084,,0.4107895889429814,
PIgR_OID00411,28.1667150743999,216.47923530427084,4.0,47.0,1.528825162649073,,0.20916949407741287,
RAGE_OID00412,8.379534105624654,118.170117410425,4.0,47.0,0.8332015563555966,,0.5109390310515984,
SOD2_OID00413,145.37000064364926,1542.9484865788472,4.0,47.0,1.1070346952089203,,0.3644019340517517,
CTRC_OID00414,1.808151045399054,25.291915964825854,4.0,47.0,0.8400223539009837,,0.5068198863236653,
FGF-23_OID00415,59.01231888875488,818.5327876641439,4.0,47.0,0.8471190859948544,,0.5025589342239958,
SPON2_OID00416,5.232542553868589,97.21626116808164,4.0,47.0,0.6324289194958468,,0.6418383673056482,
GH_OID00417,28.048648052416997,785.4940030343358,4.0,47.0,0.4195724134656358,,0.7936877172325432,
FS_OID00418,36.855417028203696,491.8357855913398,4.0,47.0,0.8804791411440935,,0.4828717376159849,
GLO1_OID00419,35.76015038567969,227.61792879672998,4.0,47.0,1.8459959162837827,,0.13583714886484366,
CD84_OID00420,23.948678426311574,311.9842566054706,4.0,47.0,0.9019588827041689,,0.4704975571047173,
PAPPA_OID00421,21.82272512178373,340.3883843224414,4.0,47.0,0.7533071984561652,,0.56088441395774,
SERPINA12_OID00422,26.516651339572466,282.5743864810191,4.0,47.0,1.1026146322745538,,0.36646094563174864,
REN_OID00423,20.86213136343338,167.18493784878822,4.0,47.0,1.4662208610087355,,0.22752463923826094,
DECR1_OID00424,9.83247301677098,102.08313338238544,4.0,47.0,1.1317399272443778,,0.3530734089966066,
MERTK_OID00425,4.756116996356956,643.6878817187792,4.0,47.0,0.08681905671110576,,0.9861201443803962,
KIM1_OID00426,3.633153410577948,90.89641749897027,4.0,47.0,0.4696505511317265,,0.7576921800361074,
THBS2_OID00427,256.6964210238039,2000.4509067209274,4.0,47.0,1.507751545862089,,0.21518743153200873,
TM_OID00428,59.39761731230368,621.803120251672,4.0,47.0,1.1224163737504043,,0.35731294415436254,
VSIG2_OID00429,61.65827483215173,462.0203960722258,4.0,47.0,1.56807953812612,,0.1983795517387241,
AMBP_OID00430,63.3754565997807,307.57814514562244,4.0,47.0,2.421048526366736,,0.06140464120598217,
PRELP_OID00431,118.22246124215052,580.5608202245364,4.0,47.0,2.3927104124215925,,0.06386107018374852,
HO-1_OID00432,3.4340408683373647,168.73673069320222,4.0,47.0,0.23912979727175424,,0.9147848177658171,
XCL1_OID00433,36.82923692140537,215.64629833932588,4.0,47.0,2.0067283192850276,,0.10889089511230103,
IL16_OID00434,180.6033171424303,664.6095118743036,4.0,47.0,3.1929861648217024,,0.021198777494648078,
SORT1_OID00435,29.21428130927753,160.6720842514665,4.0,47.0,2.136449570460327,,0.0910365185496064,
CEACAM8_OID00436,12.747166788324714,276.84428952472865,4.0,47.0,0.5410232951524782,,0.7063353285516338,
PTX3_OID00437,100.74473897670266,611.1099713217252,4.0,47.0,1.9370501849544497,,0.11986067284667082,
PSGL-1_OID00438,108.98670694390309,1053.3322578552586,4.0,47.0,1.215754855166347,,0.31678763633552953,
CCL17_OID00439,36.59593452260356,475.8444537528705,4.0,47.0,0.9036613272452119,,0.46952699141370136,
CCL3_OID00440,0.7826715972739072,84.45376651566826,4.0,47.0,0.10889261245988659,,0.9788352482278294,
MMP7_OID00441,7.553005825550585,126.4995477025198,4.0,47.0,0.7015662906473108,,0.5948073938306683,
IgG Fc receptor II-b_OID00442,21.732147073864063,139.230654689759,4.0,47.0,1.834026627877984,,0.13808574517057418,
ITGB1BP2_OID00443,20.603268587528174,739.1089149878892,4.0,47.0,0.32754090905184496,,0.8580789444412182,
DCN_OID00444,12.63733602554147,76.61325417015516,4.0,47.0,1.9381593943304438,,0.1196778407560064,
Dkk-1_OID00445,47.19970422457575,700.5225805949501,4.0,47.0,0.7916897185066456,,0.5365057965577014,
LPL_OID00446,103.01880487178431,591.43435225916,4.0,47.0,2.0466700194530643,,0.10305392147454126,
PRSS8_OID00447,149.2901272347371,910.8826906226141,4.0,47.0,1.925779261223137,,0.12173403621376,
AGRP_OID00448,30.012107158065835,227.30445519710645,4.0,47.0,1.5514093588771973,,0.20289599518114512,
HB-EGF_OID00449,57.38349508158577,592.3518914336177,4.0,47.0,1.138269459352598,,0.35013002337950677,
GDF-2_OID00450,5.914648025151386,29.389310438731407,4.0,47.0,2.3647072101406077,,0.0663850518295763,
FABP2_OID00451,7.565673039619054,79.55195049003524,4.0,47.0,1.117466732970415,,0.35958119164224506,
THPO_OID00452,8.350543094458422,482.8073655920852,4.0,47.0,0.20322573422126544,,0.9353521953538948,
MARCO_OID00453,138.6648471253463,882.0971406242879,4.0,47.0,1.847089032132792,,0.13563357453905298,
GT_OID00454,12.884578074126752,196.60862196671167,4.0,47.0,0.7700262117529221,,0.5501801345327004,
BNP_OID00455,12.765173708976835,235.1127554918873,4.0,47.0,0.637952589031918,,0.638016851379624,
MMP12_OID00456,15.247852268761038,196.36814275294782,4.0,47.0,0.9123794809392659,,0.4645802870290424,
ACE2_OID00457,56.70349827421946,206.97562933875292,4.0,47.0,3.219055822420591,,0.02045671601536969,
PD-L2_OID00458,143.94885650596865,1526.7383493637046,4.0,47.0,1.1078512992419771,,0.36402260664099195,
CTSL1_OID00459,11.008440318755962,460.383514938963,4.0,47.0,0.2809596120367852,,0.8888489430462474,
hOSCAR_OID00460,90.56834984361599,731.289434903982,4.0,47.0,1.4552078286242627,,0.2309051165160981,
TNFRSF13B_OID00461,180.8891644443839,682.2600646900294,4.0,47.0,3.1153042545252356,,0.023576760383675545,
TGM2_OID00462,104.61732245360552,630.676217906445,4.0,47.0,1.9491039996884953,,0.11788840482204538,
LEP_OID00463,41.56367579885882,921.8532581972017,4.0,47.0,0.5297732435112996,,0.7143988021009844,
CA5A_OID00464,99.85495431202519,432.15149518356975,4.0,47.0,2.715010190275755,,0.040894366619219163,
HSP 27_OID00465,42.62170240848337,399.92546186800587,4.0,47.0,1.2522458584169085,,0.30207374463135617,
CD4_OID00466,21.45838751136001,500.5013837880333,4.0,47.0,0.5037669453582608,,0.7330985372806456,
NEMO_OID00467,27.25699383523483,269.58090029994906,4.0,47.0,1.1880280732339026,,0.3283861538349708,
VEGFD_OID00468,11.150512660972254,233.91591854280733,4.0,47.0,0.5601094811443847,,0.6927038750034544,
PARP-1_OID00469,0.18318640258319974,40.459500685719064,4.0,47.0,0.05319987132496523,,0.9945331256041667,
HAOX1_OID00470,182.8049914030747,925.8652793470593,4.0,47.0,2.319947293520841,,0.07062800891936208,
NT-proBNP_OID00131,65.14649263224402,313.1426253769374,4.0,47.0,2.4444812887017564,,0.05944506083807691,
MEPE_OID00132,65.07791144263433,277.87777768178967,4.0,47.0,2.751805005172476,,0.03886921291451356,
TNFRSF14_OID00563,3.683850023461105,214.87189735161974,4.0,47.0,0.20144671457354588,,0.9363234448851622,
LDL receptor_OID00564,20.200120487979955,619.2997227315334,4.0,47.0,0.38325774584054895,,0.8194909657540177,
ITGB2_OID00565,59.67048487485355,768.0260895608665,4.0,47.0,0.9128963284052143,,0.4642882634584935,
IL-17RA_OID00566,20.913536443521227,1041.42810163428,4.0,47.0,0.2359587309251131,,0.9166704221446235,
TNF-R2_OID00567,15.015497533591475,1212.5957215884848,4.0,47.0,0.14549952047379489,,0.964103568281879,
MMP-9_OID00568,11.331951176082397,578.6576633674355,4.0,47.0,0.2301022430846482,,0.9201195988763625,
EPHB4_OID00569,25.817765352181954,146.46845421242148,4.0,47.0,2.071154123386735,,0.0996294112186755,
IL2-RA_OID00570,17.539613994488054,451.5595815479889,4.0,47.0,0.45639705778966544,,0.7672432392328038,
OPG_OID00571,25.775901943495818,532.6482583713986,4.0,47.0,0.5686057225871872,,0.6866588045934199,
ALCAM_OID00572,0.8958809026124341,63.53534081456517,4.0,47.0,0.1656810283967648,,0.9547442703283338,
TFF3_OID00573,13.017897025233168,409.6623680494622,4.0,47.0,0.37338135493085234,,0.8264356621900436,
SELP_OID00574,9.562067625617031,366.53346351734035,4.0,47.0,0.30653216086417373,,0.8721636534296577,
CSTB_OID00575,14.17417526528982,105.30494470060289,4.0,47.0,1.581564472975806,,0.19479576178474045,
MCP-1_OID00576,78.18849512448816,607.8599131626602,4.0,47.0,1.51139234191759,,0.21413626400281655,
CD163_OID00577,11.63466634894015,145.0939786453702,4.0,47.0,0.9421985038688505,,0.4479592847525995,
Gal-3_OID00578,2.647820238847621,52.147079514659964,4.0,47.0,0.5966180291594883,,0.66684763209816,
GRN_OID00579,3.7434775271621046,24.430116410318533,4.0,47.0,1.8004769279599688,,0.1445828090609867,
BLM hydrolase_OID00581,48.896827675035105,267.49123112641706,4.0,47.0,2.147874989255758,,0.08961018397153483,
PLC_OID00582,141.6882028827293,758.6689402535287,4.0,47.0,2.1944174797978704,,0.08402521640564356,
LTBR_OID00583,0.8100160370828534,11.950266660231325,4.0,47.0,0.7964415109996626,,0.5335364543764696,
Notch 3_OID00584,14.8000026827954,391.04115653185704,4.0,47.0,0.44471030380833787,,0.7756547551752029,
TIMP4_OID00585,83.19120222492006,386.10108920029177,4.0,47.0,2.5317116513901614,,0.052685862869453946,
CNTN1_OID00586,27.264304517561037,163.81640849011262,4.0,47.0,1.9555768621351364,,0.11684245508835801,
CDH5_OID00587,5.06441182500892,85.48696625894483,4.0,47.0,0.6960925337273666,,0.5984633630225761,
TLT-2_OID00588,133.26277872973677,1397.1262046596958,4.0,47.0,1.1207560525684972,,0.35807244948617295,
FABP4_OID00589,22.169842050553278,1016.7256360437884,4.0,47.0,0.25621036281491183,,0.904422368203131,
TFPI_OID00590,25.0499929612333,336.5744210448107,4.0,47.0,0.8745091691186595,,0.48635312309047374,
PAI_OID00591,28.41328486895339,390.9556060205849,4.0,47.0,0.8539488680272918,,0.4984822818455301,
CCL24_OID00592,0.21526116028120273,26.09680043550252,4.0,47.0,0.09692064127000048,,0.982947719003534,
TR_OID00593,131.99071855092518,709.4234844419427,4.0,47.0,2.1861285635241634,,0.08499395016956225,
TNFRSF10C_OID00594,5.56012144992503,104.33622106931192,4.0,47.0,0.6261624809395635,,0.6461859860456862,
GDF-15_OID00595,48.36715037988995,1859.9585784704154,4.0,47.0,0.3055519749429444,,0.8728130230920548,
SELE_OID00596,1.6869262394958684,71.2658440052341,4.0,47.0,0.27813300453749873,,0.8906581395099935,
AZU1_OID00597,3.0961452045893942,52.7141587166359,4.0,47.0,0.6901315896832177,,0.6024586824066822,
DLK-1_OID00598,8.327915405157935,341.86568038474456,4.0,47.0,0.2862323176180756,,0.8854544974322275,
SPON1_OID00599,168.35325209966925,851.5933109049051,4.0,47.0,2.3228819283105056,,0.07034171112275195,
MPO_OID00600,69.25447378771676,365.07224821592763,4.0,47.0,2.228983635382695,,0.08010226146371831,
CXCL16_OID00601,34.98256560381766,1825.8965470629732,4.0,47.0,0.22511962493496135,,0.9230191321853825,
IL-6RA_OID00602,123.27299866376492,727.6309550610987,4.0,47.0,1.9906488642688542,,0.11133143434116202,
RETN_OID00603,24.156440772152152,289.9466343746425,4.0,47.0,0.9789324841965164,,0.42812051872907075,
IGFBP-1_OID00604,0.5459081450224458,22.65862183453118,4.0,47.0,0.2830896226106002,,0.8874807272877981,
CHIT1_OID00605,82.09459369192578,947.4870224234827,4.0,47.0,1.0180735493483006,,0.4077547574365567,
TR-AP_OID00606,73.87070820361534,709.8445630193419,4.0,47.0,1.2227758957545605,,0.3139083680455393,
PSP-D_OID00608,78.07809732507728,842.0559330696944,4.0,47.0,1.089497273922451,,0.3726293701469299,
PI3_OID00609,66.5630120009489,1075.4473082429658,4.0,47.0,0.72724659313058,,0.5778239011276387,
Ep-CAM_OID00610,5.5144679275565185,109.25142381729852,4.0,47.0,0.5930814984813925,,0.6693377495868964,
AP-N_OID00611,147.6149850954516,370.5221307234668,4.0,47.0,4.681167280035035,,0.0029100022166500235,
AXL_OID00612,18.230172572133352,130.77930972807022,4.0,47.0,1.6379083829694692,,0.18047518139377125,
IL-1RT1_OID00613,3.6793941569883026,154.9471776689686,4.0,47.0,0.2790169010820959,,0.8900931952415508,
MMP-2_OID00614,1.2025864712659184,21.61860321244908,4.0,47.0,0.65362183201723,,0.6272332796068718,
FAS_OID00615,2.3553410723656936,49.073555020980166,4.0,47.0,0.5639546103489963,,0.6899661693656594,
MB_OID00616,23.571386359138785,326.3422762267297,4.0,47.0,0.8486911132759802,,0.5016185103699085,
TNFSF13B_OID00617,88.16942538963079,638.7053660564225,4.0,47.0,1.622016665876334,,0.1844095853234196,
PRTN3_OID00618,44.87313894296495,567.1594506406078,4.0,47.0,0.9296492934822784,,0.45489780529786206,
PCSK9_OID00619,12.464074042119162,202.0335357868674,4.0,47.0,0.724893861924976,,0.5793680545596758,
U-PAR_OID00620,77.99256988296393,400.07732302219745,4.0,47.0,2.2905889521610825,,0.07355692977898838,
OPN_OID00621,14.129771743440749,57.01775282576272,4.0,47.0,2.9118092130493904,,0.031177391983519504,
CTSD_OID00622,33.55728069190955,439.2587431231891,4.0,47.0,0.8976441660020804,,0.47296409670756934,
PGLYRP1_OID00623,6.232473506265143,57.20766870566024,4.0,47.0,1.2801004717636704,,0.2912543739597352,
CPA1_OID00624,21.238286832645834,123.53071851915342,4.0,47.0,2.0201442465089836,,0.10689493128816589,
JAM-A_OID00625,25.09959617597549,80.5673322908424,4.0,47.0,3.6605438790385985,,0.011233894751288345,
Gal-4_OID00626,1.6542446195452019,47.317286187595414,4.0,47.0,0.4107880194691254,,0.7999616750837455,
IL-1RT2_OID00627,28.097111440031885,747.6060053066276,4.0,47.0,0.4415976558200179,,0.7778926935880924,
SHPS-1_OID00628,10.515579852736606,114.08102758192359,4.0,47.0,1.0830728464549102,,0.3756821738292445,
CCL15_OID00629,40.48760349349363,2308.5933899813654,4.0,47.0,0.20606891759851662,,0.9337899659687303,
CASP-3_OID00630,66.29621815856025,427.8907006344448,4.0,47.0,1.8205129539110523,,0.14066793296153665,
uPA_OID00631,0.6743231899969993,31.59009330265483,4.0,47.0,0.25081589365862583,,0.9077314167910346,
